path_length,probability
1,0.0002
2,0.0015
3,0.0041
4,0.0108
5,0.0242
6,0.0431
7,0.0587
8,0.0835
9,0.1024
10,0.1176
11,0.1146
12,0.1092
13,0.0913
14,0.0804
15,0.0625
16,0.0399
17,0.0225
18,0.0154
19,0.0087
20,0.0046
21,0.0028
22,0.0012
23,0.0004
24,0.0003
26,0.0001
