path_length,probability
1,0.0011
2,0.0056
3,0.0122
4,0.0263
5,0.0457
6,0.058
7,0.0805
8,0.0951
9,0.1016
10,0.1051
11,0.1008
12,0.0915
13,0.0785
14,0.062
15,0.0465
16,0.0349
17,0.0219
18,0.014
19,0.0069
20,0.0064
21,0.0028
22,0.0016
23,0.0004
24,0.0004
25,0.0001
29,0.0001
