path_length,probability
1,0.002
2,0.0073
3,0.0224
4,0.0465
5,0.0848
6,0.1204
7,0.1509
8,0.1572
9,0.1416
10,0.1087
11,0.0759
12,0.0439
13,0.0213
14,0.0099
15,0.0048
16,0.0016
17,0.0008
