current_node,neighbor,manhattan_distance,shortest_path_distance_to_target,is_greedy_best,is_shortest_path_best,edge_type
"(4, 2)","(4, 1)",4,4,False,False,LOCAL
"(4, 2)","(2, 4)",3,3,False,False,SHORTCUT
"(4, 3)","(5, 3)",5,5,False,False,LOCAL
"(4, 3)","(3, 3)",3,3,True,True,LOCAL
"(4, 3)","(4, 4)",5,5,False,False,LOCAL
"(4, 3)","(4, 2)",3,3,True,True,LOCAL
"(4, 3)","(5, 4)",6,5,False,False,SHORTCUT
"(4, 4)","(5, 4)",6,5,False,False,LOCAL
"(4, 4)","(3, 4)",4,4,True,True,SHORTCUT
"(4, 4)","(4, 5)",6,4,False,True,LOCAL
"(4, 4)","(4, 3)",4,4,True,True,LOCAL
"(4, 5)","(5, 5)",7,5,False,False,LOCAL
"(4, 5)","(3, 5)",5,3,True,True,LOCAL
"(4, 5)","(4, 4)",5,5,True,False,LOCAL
"(4, 5)","(5, 0)",6,5,False,False,SHORTCUT
"(5, 0)","(4, 0)",5,5,True,True,LOCAL
"(5, 0)","(5, 1)",5,5,True,True,SHORTCUT
"(5, 1)","(4, 1)",4,4,True,True,SHORTCUT
"(5, 1)","(5, 2)",4,4,True,True,LOCAL
"(5, 1)","(5, 0)",6,5,False,False,LOCAL
"(5, 2)","(4, 2)",3,3,False,False,LOCAL
"(5, 2)","(5, 3)",5,5,False,False,LOCAL
"(5, 2)","(5, 1)",5,5,False,False,LOCAL
"(5, 2)","(2, 3)",2,2,True,True,SHORTCUT
"(5, 3)","(4, 3)",4,4,True,True,LOCAL
"(5, 3)","(5, 4)",6,5,False,False,LOCAL
"(5, 3)","(5, 2)",4,4,True,True,LOCAL
"(5, 3)","(4, 5)",6,4,False,True,SHORTCUT
"(5, 4)","(4, 4)",5,5,True,True,LOCAL
"(5, 4)","(5, 5)",7,5,False,True,LOCAL
"(5, 4)","(5, 3)",5,5,True,True,SHORTCUT
"(5, 5)","(4, 5)",6,4,False,False,LOCAL
"(5, 5)","(5, 4)",6,5,False,False,LOCAL
"(5, 5)","(1, 2)",0,0,True,True,SHORTCUT
