nodes,dimension,q,L2_norm
4096,12,1,0.20309226659329008
4096,12,2,0.11272851790917862
4096,12,3,0.08757461104680966
4096,15,1,0.380821931813282
4096,15,2,0.29254593656381556
4096,15,3,0.23608281121250654
4096,16,1,0.4534232294446327
4096,16,2,0.37136589100239137
4096,16,3,0.29791651515147666
4096,17,1,0.5005959261220571
4096,17,2,0.4278858273535126
4096,17,3,0.36145011758194245
